Year,Month,Day,sourceLatitude,sourceLongitude,SourceState,destinationLatitude,destinationLongitude,destinationState,distanceKM,taxiDurationMin,vehicleType,vehicleOption,weight,price
1996,4,26,32.692973,51.534325,3,35.7196,50.36054,4,409,287,2,0,10,4860000
1996,6,31,39.024777,47.727311,2,37.794447,48.89853,29,320,314,2,0,10,2700000
1996,5,21,34.644159,50.875606,17,36.652243,51.490208,19,346,329,0,3,13.6,4000000
1996,4,9,32.621658,51.560335,3,36.469973,52.343745,19,626,472,1,6,4,4500000
1996,2,5,37.837692,46.828924,0,35.697815,51.39675,7,576,366,1,5,2,2700000
1996,1,8,38.255395,48.299482,2,35.707209,51.40655,7,589,418,1,5,1,3400000
1996,4,17,31.319052,48.680153,11,27.180665,56.282117,21,1129,820,3,2,22,14830000
1996,5,25,37.220459,49.313863,29,35.810417,51.013905,4,304,221,3,4,20,6210000
1996,6,9,37.272882,49.584629,29,33.642694,46.414977,5,723,593,0,0,10,11000000
1996,6,7,35.810932,51.014025,4,36.304474,59.602973,9,942,634,1,1,2,4770000
1996,2,25,34.347708,58.681294,9,36.211309,58.798924,9,300,210,1,5,2,1388000
1996,4,13,37.084264,55.173332,28,30.048345,57.281893,25,1132,791,1,8,2,6000000
1996,6,8,35.694369,51.39809,7,37.723889,46.941912,0,553,365,2,0,10,7500000
1996,5,20,36.25539,49.134311,12,37.837454,45.975458,0,419,269,3,2,20,5500000
1996,5,25,36.562921,53.054817,19,35.697429,51.404162,7,277,243,1,6,3.5,2600000
1996,5,28,35.58223,53.390256,13,35.700156,51.403497,7,223,175,3,7,21.33,6025000
1996,3,29,32.473265,51.47355,3,29.612982,52.536589,15,474,337,0,0,10,4801000
1996,5,15,32.045835,50.811547,23,35.695399,51.407254,7,580,370,3,2,22,8450000
1996,3,4,37.546378,45.07242,1,38.071589,46.289499,0,148,135,3,7,22,7070000
1996,6,20,35.278107,47.424931,24,35.306138,47.002522,24,55,58,1,6,2.5,1100000
1996,1,8,31.040707,52.84214,15,27.177642,56.27419,21,701,498,3,2,19.53,7039000
1996,6,6,29.43847,55.666506,25,32.013677,51.866871,3,541,374,1,5,2,3500000
1996,1,7,34.909839,48.446005,22,38.077804,46.283142,0,570,401,2,0,10,4800000
1996,2,31,32.670737,51.663713,3,27.177167,56.282192,21,942,662,3,2,23.97,12018000
1996,2,30,27.473506,52.609265,6,32.667177,51.66717,3,844,625,0,0,13,12000000
1996,2,21,37.481626,57.32586,10,36.293227,59.612175,9,263,200,1,8,3,1760000
1996,5,12,35.696683,51.401692,7,28.755027,54.545528,15,1118,771,1,6,2.67,5520000
1996,3,10,37.997534,46.468539,0,35.694728,51.400837,7,603,385,0,5,8,8000000
1996,3,1,37.009333,54.981579,28,36.302008,59.612741,9,520,412,1,6,3,3000000
1996,5,26,32.247923,54.009553,30,33.135795,47.380222,5,824,616,0,0,15,12495000
1996,4,11,33.501183,49.052591,18,32.669104,51.658111,3,303,235,1,6,2.5,900000
1996,5,8,37.281315,49.583384,29,36.276708,50.01226,16,178,150,2,0,10,3500000
1996,3,30,31.135893,53.249231,30,29.613229,52.535705,15,289,209,0,0,15,2540000
1996,3,31,38.070008,46.293949,0,34.319024,47.080429,26,693,516,2,0,3,5960000
1996,3,8,32.132686,51.178564,23,36.301846,59.61287,9,1243,833,3,2,20.9,15100000
1996,5,22,34.032733,48.733902,18,33.867551,48.255301,18,115,121,1,6,1.5,1300000
1996,1,29,29.609386,52.540814,15,35.693804,51.407732,7,931,620,1,8,4,3760000
1996,1,14,32.03569,54.118293,30,35.707068,51.405519,7,603,383,1,6,3.14,3315000
1996,4,3,30.432754,48.184814,11,38.245577,48.300904,2,1215,929,0,0,15,19000000
1996,2,25,29.499029,60.853259,14,25.286392,60.645741,14,655,440,1,6,3,5100000
1996,4,4,36.149369,49.217598,12,37.276782,49.584849,29,176,182,3,7,10,6696000
1996,2,13,35.024476,50.364978,20,35.705512,51.399713,7,140,116,1,5,2.33,1898000
1996,4,29,33.538309,47.603781,18,34.472204,50.453248,17,384,306,1,6,2,2200000
1996,6,16,35.698799,51.400447,7,39.650161,47.924602,2,793,581,1,6,3,3600000
1996,2,24,27.660699,52.659752,15,34.80171,48.510481,22,1272,923,1,6,3,4660000
1996,2,28,29.880818,52.802269,15,35.695116,51.39823,7,881,578,1,6,2,2240000
1996,2,14,34.193028,48.374979,22,34.800229,48.516476,22,115,102,2,0,5,1500000
1996,1,22,34.50513,48.697196,22,29.600931,52.542503,15,903,642,3,3,23.1,11000000
1996,3,5,28.306345,55.897887,21,32.669182,51.665575,3,775,525,1,6,3,3500000
1996,4,21,32.666369,51.663578,3,30.239903,57.065229,25,680,442,1,6,4,4650000
1996,5,4,31.327544,48.678986,11,30.742197,48.425307,11,95,87,3,2,24,2000000
1996,3,5,33.901326,48.749421,18,36.294428,59.600804,9,1203,792,1,5,3,6000000
1996,4,16,36.542814,46.182628,1,37.143206,46.110609,0,82,89,1,6,2.26,940000
1996,1,7,36.067947,49.689714,16,36.291375,59.602986,9,1096,734,3,2,24,15220000
1996,6,14,35.70163,51.404855,7,36.742938,51.033286,19,233,272,2,0,10,5850000
1996,1,16,35.020354,50.357275,20,36.293566,59.607574,9,1029,674,1,6,3,6108000
1996,3,4,29.851324,51.578005,15,27.178722,56.282946,21,700,520,0,0,15,10000000
1996,3,24,30.895303,52.694642,15,31.890888,54.365421,30,227,172,1,8,0.5,1130000
1996,6,22,36.629461,53.212223,19,35.700704,51.39802,7,298,259,3,2,22,8000000
1996,4,30,37.300218,49.30856,29,34.641103,50.879991,17,435,331,1,6,2,2100000
1996,1,28,35.244355,58.459554,9,36.300674,59.611166,9,244,177,2,0,10,3775000
1996,2,20,33.88978,48.752718,18,34.802922,48.514698,22,144,130,1,6,2,1200000
1996,6,27,36.293502,59.599119,9,37.476753,57.325105,10,269,207,1,6,2,1720000
1996,4,5,36.792335,54.112771,28,36.565334,53.055816,19,107,90,0,0,15,2300000
1996,5,9,34.804684,48.517549,22,34.543298,48.454762,22,57,81,1,5,2.75,1400000
